[16:12:25] info: 14_Feb_2022_16.12
[16:12:25] info: MQTT connection respone successfull
[16:12:25] info: Subsribe response v2/server/simulated/cmd
[16:12:25] info: Subsribe response v2/server/simulated/cmd
[16:12:39] info: Init pose selected: -20, -20, -20
[16:22:37] info: x: 0, y: 0, theta: 0
[16:22:42] info: x: 0, y: 0, theta: 0
[16:22:47] info: x: 0, y: 0, theta: 0
[16:22:52] info: x: 0, y: 0, theta: 0
[16:22:57] info: x: 0, y: 0, theta: 0
[16:23:02] info: x: 0, y: 0, theta: 0
[16:23:07] info: x: 0, y: 0, theta: 0
[16:23:12] info: x: 0, y: 0, theta: 0
[16:23:17] info: x: 0, y: 0, theta: 0
[16:23:22] info: x: 0, y: 0, theta: 0
[16:23:27] info: x: 0, y: 0, theta: 0
[16:23:32] info: x: 0, y: 0, theta: 0
[16:23:37] info: x: 0, y: 0, theta: 0
[16:23:42] info: x: 0, y: 0, theta: 0
[16:23:47] info: x: 0, y: 0, theta: 0
[16:23:52] info: x: 0, y: 0, theta: 0
[16:23:57] info: x: 0, y: 0, theta: 0
[16:24:02] info: x: 0, y: 0, theta: 0
[16:24:07] info: x: 0, y: 0, theta: 0
[16:24:12] info: x: 0, y: 0, theta: 0
[16:24:17] info: x: 0, y: 0, theta: 0
[16:24:22] info: x: 0, y: 0, theta: 0
[16:24:27] info: x: 0, y: 0, theta: 0
[16:24:32] info: x: 0, y: 0, theta: 0
[16:24:37] info: x: 0, y: 0, theta: 0
[16:24:42] info: x: 0, y: 0, theta: 0
[16:24:47] info: x: 0, y: 0, theta: 0
[16:24:52] info: x: 0, y: 0, theta: 0
[16:24:57] info: x: 0, y: 0, theta: 0
[16:25:02] info: x: 0, y: 0, theta: 0
[16:25:07] info: x: 0, y: 0, theta: 0
[16:25:12] info: x: 0, y: 0, theta: 0
[16:25:17] info: x: 0, y: 0, theta: 0
[16:25:22] info: x: 0, y: 0, theta: 0
[16:25:27] info: x: 0, y: 0, theta: 0
[16:25:32] info: x: 0, y: 0, theta: 0
[16:25:37] info: x: 0, y: 0, theta: 0
[16:25:42] info: x: 0, y: 0, theta: 0
[16:25:47] info: x: 0, y: 0, theta: 0
[16:25:52] info: x: 0, y: 0, theta: 0
[16:25:57] info: x: 0, y: 0, theta: 0
[16:26:02] info: x: 0, y: 0, theta: 0
[16:26:07] info: x: 0, y: 0, theta: 0
[16:26:12] info: x: 0, y: 0, theta: 0
[16:26:17] info: x: 0, y: 0, theta: 0
[16:26:22] info: x: 0, y: 0, theta: 0
[16:26:27] info: x: 0, y: 0, theta: 0
[16:26:32] info: x: 0, y: 0, theta: 0
[16:26:37] info: x: 0, y: 0, theta: 0
[16:26:42] info: x: 0, y: 0, theta: 0
[16:26:47] info: x: 0, y: 0, theta: 0
[16:26:52] info: x: 0, y: 0, theta: 0
[16:26:57] info: x: 0, y: 0, theta: 0
[16:27:02] info: x: 0, y: 0, theta: 0
[16:27:07] info: x: 0, y: 0, theta: 0
[16:27:12] info: x: 0, y: 0, theta: 0
[16:27:17] info: x: 0, y: 0, theta: 0
[16:27:22] info: x: 0, y: 0, theta: 0
[16:27:27] info: x: 0, y: 0, theta: 0
[16:27:32] info: x: 0, y: 0, theta: 0
[16:27:37] info: x: 0, y: 0, theta: 0
[16:27:42] info: x: 0, y: 0, theta: 0
[16:27:47] info: x: 0, y: 0, theta: 0
[16:27:52] info: x: 0, y: 0, theta: 0
[16:27:57] info: x: 0, y: 0, theta: 0
[16:28:02] info: x: 0, y: 0, theta: 0
[16:28:07] info: x: 0, y: 0, theta: 0
[16:28:12] info: x: 0, y: 0, theta: 0
[16:28:17] info: x: 0, y: 0, theta: 0
[16:28:22] info: x: 0, y: 0, theta: 0
[16:28:27] info: x: 0, y: 0, theta: 0
[16:28:32] info: x: 0, y: 0, theta: 0
[16:28:37] info: x: 0, y: 0, theta: 0
[16:28:42] info: x: 0, y: 0, theta: 0
[16:28:47] info: x: 0, y: 0, theta: 0
[16:28:52] info: x: 0, y: 0, theta: 0
[16:28:57] info: x: 0, y: 0, theta: 0
[16:29:02] info: x: 0, y: 0, theta: 0
[16:29:07] info: x: 0, y: 0, theta: 0
[16:29:12] info: x: 0, y: 0, theta: 0
[16:29:17] info: x: 0, y: 0, theta: 0
[16:29:22] info: x: 0, y: 0, theta: 0
[16:29:27] info: x: 0, y: 0, theta: 0
[16:29:32] info: x: 0, y: 0, theta: 0
[16:29:37] info: x: 0, y: 0, theta: 0
[16:29:42] info: x: 0, y: 0, theta: 0
[16:29:47] info: x: 0, y: 0, theta: 0
[16:29:52] info: x: 0, y: 0, theta: 0
[16:29:57] info: x: 0, y: 0, theta: 0
[16:30:02] info: x: 0, y: 0, theta: 0
[16:30:07] info: x: 0, y: 0, theta: 0
[16:30:12] info: x: 0, y: 0, theta: 0
[16:30:17] info: x: 0, y: 0, theta: 0
[16:30:22] info: x: 0, y: 0, theta: 0
[16:30:27] info: x: 0, y: 0, theta: 0
[16:30:32] info: x: 0, y: 0, theta: 0
[16:30:37] info: x: 0, y: 0, theta: 0
[16:30:42] info: x: 0, y: 0, theta: 0
[16:30:47] info: x: 0, y: 0, theta: 0
[16:30:52] info: x: 0, y: 0, theta: 0
[16:30:57] info: x: 0, y: 0, theta: 0
[16:31:02] info: x: 0, y: 0, theta: 0
[16:31:07] info: x: 0, y: 0, theta: 0
[16:31:12] info: x: 0, y: 0, theta: 0
[16:31:17] info: x: 0, y: 0, theta: 0
[16:31:22] info: x: 0, y: 0, theta: 0
[16:31:27] info: x: 0, y: 0, theta: 0
[16:31:32] info: x: 0, y: 0, theta: 0
[16:31:37] info: x: 0, y: 0, theta: 0
[16:31:42] info: x: 0, y: 0, theta: 0
[16:31:47] info: x: 0, y: 0, theta: 0
[16:31:52] info: x: 0, y: 0, theta: 0
[16:31:57] info: x: 0, y: 0, theta: 0
[16:32:02] info: x: 0, y: 0, theta: 0
[16:32:07] info: x: 0, y: 0, theta: 0
[16:32:12] info: x: 0, y: 0, theta: 0
[16:32:17] info: x: 0, y: 0, theta: 0
[16:32:22] info: x: 0, y: 0, theta: 0
[16:32:27] info: x: 0, y: 0, theta: 0
[16:32:32] info: x: 0, y: 0, theta: 0
[16:32:37] info: x: 0, y: 0, theta: 0
[16:32:42] info: x: 0, y: 0, theta: 0
[16:32:47] info: x: 0, y: 0, theta: 0
[16:32:52] info: x: 0, y: 0, theta: 0
[16:32:57] info: x: 0, y: 0, theta: 0
[16:33:02] info: x: 0, y: 0, theta: 0
[16:33:07] info: x: 0, y: 0, theta: 0
[16:33:12] info: x: 0, y: 0, theta: 0
[16:33:17] info: x: 0, y: 0, theta: 0
[16:33:22] info: x: 0, y: 0, theta: 0
[16:33:27] info: x: 0, y: 0, theta: 0
[16:33:32] info: x: 0, y: 0, theta: 0
[16:33:37] info: x: 0, y: 0, theta: 0
[16:33:42] info: x: 0, y: 0, theta: 0
[16:33:47] info: x: 0, y: 0, theta: 0
[16:33:52] info: x: 0, y: 0, theta: 0
[16:33:57] info: x: 0, y: 0, theta: 0
[16:34:02] info: x: 0, y: 0, theta: 0
[16:34:07] info: x: 0, y: 0, theta: 0
[16:34:12] info: x: 0, y: 0, theta: 0
[16:34:17] info: x: 0, y: 0, theta: 0
[16:34:22] info: x: 0, y: 0, theta: 0
[16:34:27] info: x: 0, y: 0, theta: 0
[16:34:32] info: x: 0, y: 0, theta: 0
[16:34:37] info: x: 0, y: 0, theta: 0
[16:34:42] info: x: 0, y: 0, theta: 0
[16:34:47] info: x: 0, y: 0, theta: 0
[16:34:52] info: x: 0, y: 0, theta: 0
[16:34:57] info: x: 0, y: 0, theta: 0
[16:35:02] info: x: 0, y: 0, theta: 0
[16:35:07] info: x: 0, y: 0, theta: 0
[16:35:12] info: x: 0, y: 0, theta: 0
[16:35:17] info: x: 0, y: 0, theta: 0
[16:35:22] info: x: 0, y: 0, theta: 0
[16:35:27] info: x: 0, y: 0, theta: 0
[16:35:32] info: x: 0, y: 0, theta: 0
[16:35:37] info: x: 0, y: 0, theta: 0
[16:35:42] info: x: 0, y: 0, theta: 0
[16:35:47] info: x: 0, y: 0, theta: 0
[16:35:52] info: x: 0, y: 0, theta: 0
[16:35:57] info: x: 0, y: 0, theta: 0
[16:36:02] info: x: 0, y: 0, theta: 0
[16:36:07] info: x: 0, y: 0, theta: 0
[16:36:12] info: x: 0, y: 0, theta: 0
[16:36:17] info: x: 0, y: 0, theta: 0
[16:36:22] info: x: 0, y: 0, theta: 0
[16:36:27] info: x: 0, y: 0, theta: 0
[16:36:32] info: x: 0, y: 0, theta: 0
[16:36:37] info: x: 0, y: 0, theta: 0
[16:36:42] info: x: 0, y: 0, theta: 0
[16:36:47] info: x: 0, y: 0, theta: 0
[16:36:52] info: x: 0, y: 0, theta: 0
[16:36:57] info: x: 0, y: 0, theta: 0
[16:37:02] info: x: 0, y: 0, theta: 0
[16:37:07] info: x: 0, y: 0, theta: 0
[16:37:12] info: x: 0, y: 0, theta: 0
[16:37:17] info: x: 0, y: 0, theta: 0
[16:37:22] info: x: 0, y: 0, theta: 0
[16:37:27] info: x: 0, y: 0, theta: 0
[16:37:32] info: x: 0, y: 0, theta: 0
[16:37:37] info: x: 0, y: 0, theta: 0
[16:37:42] info: x: 0, y: 0, theta: 0
[16:37:47] info: x: 0, y: 0, theta: 0
[16:37:52] info: x: 0, y: 0, theta: 0
[16:37:57] info: x: 0, y: 0, theta: 0
[16:38:02] info: x: 0, y: 0, theta: 0
[16:38:07] info: x: 0, y: 0, theta: 0
[16:38:12] info: x: 0, y: 0, theta: 0
[16:38:17] info: x: 0, y: 0, theta: 0
[16:38:22] info: x: 0, y: 0, theta: 0
[16:38:27] info: x: 0, y: 0, theta: 0
[16:38:32] info: x: 0, y: 0, theta: 0
[16:38:37] info: x: 0, y: 0, theta: 0
[16:38:42] info: x: 0, y: 0, theta: 0
[16:38:47] info: x: 0, y: 0, theta: 0
[16:38:52] info: x: 0, y: 0, theta: 0
[16:38:57] info: x: 0, y: 0, theta: 0
[16:39:02] info: x: 0, y: 0, theta: 0
[16:39:07] info: x: 0, y: 0, theta: 0
[16:39:12] info: x: 0, y: 0, theta: 0
[16:39:17] info: x: 0, y: 0, theta: 0
[16:39:22] info: x: 0, y: 0, theta: 0
[16:39:27] info: x: 0, y: 0, theta: 0
[16:39:32] info: x: 0, y: 0, theta: 0
[16:39:37] info: x: 0, y: 0, theta: 0
[16:39:42] info: x: 0, y: 0, theta: 0
[16:39:47] info: x: 0, y: 0, theta: 0
[16:39:52] info: x: 0, y: 0, theta: 0
[16:39:57] info: x: 0, y: 0, theta: 0
[16:40:02] info: x: 0, y: 0, theta: 0
[16:40:07] info: x: 0, y: 0, theta: 0
[16:40:12] info: x: 0, y: 0, theta: 0
[16:40:17] info: x: 0, y: 0, theta: 0
[16:40:22] info: x: 0, y: 0, theta: 0
[16:40:27] info: x: 0, y: 0, theta: 0
[16:40:32] info: x: 0, y: 0, theta: 0
[16:40:37] info: x: 0, y: 0, theta: 0
[16:40:42] info: x: 0, y: 0, theta: 0
[16:40:47] info: x: 0, y: 0, theta: 0
[16:40:52] info: x: 0, y: 0, theta: 0
[16:40:57] info: x: 0, y: 0, theta: 0
[16:41:02] info: x: 0, y: 0, theta: 0
[16:41:07] info: x: 0, y: 0, theta: 0
[16:41:12] info: x: 0, y: 0, theta: 0
[16:41:17] info: x: 0, y: 0, theta: 0
[16:41:22] info: x: 0, y: 0, theta: 0
[16:41:27] info: x: 0, y: 0, theta: 0
[16:41:32] info: x: 0, y: 0, theta: 0
[16:41:37] info: x: 0, y: 0, theta: 0
[16:41:42] info: x: 0, y: 0, theta: 0
[16:41:47] info: x: 0, y: 0, theta: 0
[16:41:52] info: x: 0, y: 0, theta: 0
[16:41:57] info: x: 0, y: 0, theta: 0
[16:42:02] info: x: 0, y: 0, theta: 0
[16:42:07] info: x: 0, y: 0, theta: 0
[16:42:12] info: x: 0, y: 0, theta: 0
[16:42:17] info: x: 0, y: 0, theta: 0
[16:42:22] info: x: 0, y: 0, theta: 0
[16:42:27] info: x: 0, y: 0, theta: 0
[16:42:32] info: x: 0, y: 0, theta: 0
[16:42:37] info: x: 0, y: 0, theta: 0
[16:42:42] info: x: 0, y: 0, theta: 0
[16:42:47] info: x: 0, y: 0, theta: 0
[16:42:52] info: x: 0, y: 0, theta: 0
