[16:01:07] info: 14_Feb_2022_16.01
[16:01:08] info: MQTT connection respone successfull
[16:01:08] info: Subsribe response v2/server/simulated/cmd
[16:01:08] info: Subsribe response v2/server/simulated/cmd
[16:01:53] info: Init pose selected: -20, -20, -20
[16:01:53] info: x: 0, y: 0, theta: 0
[16:01:53] info: x: 0, y: 0, theta: 0
[16:01:53] info: x: 0, y: 0, theta: 0
[16:01:53] info: x: 0, y: 0, theta: 0
[16:01:53] info: x: 0, y: 0, theta: 0
[16:01:53] info: Got a request to publish to: v2/server/NRF_5/init
[16:01:54] info: x: 0, y: 0, theta: 0
[16:03:02] info: x: 0, y: 0, theta: 0
[16:03:07] info: x: 0, y: 0, theta: 0
[16:03:15] info: x: 0, y: 0, theta: 0
[16:03:17] info: x: 0, y: 0, theta: 0
[16:03:22] info: x: 0, y: 0, theta: 0
[16:03:27] info: x: 0, y: 0, theta: 0
[16:03:32] info: x: 0, y: 0, theta: 0
[16:03:37] info: x: 0, y: 0, theta: 0
[16:03:42] info: x: 0, y: 0, theta: 0
[16:03:47] info: x: 0, y: 0, theta: 0
[16:03:52] info: x: 0, y: 0, theta: 0
[16:03:57] info: x: 0, y: 0, theta: 0
[16:04:02] info: x: 0, y: 0, theta: 0
[16:04:07] info: x: 0, y: 0, theta: 0
[16:04:12] info: x: 0, y: 0, theta: 0
[16:04:17] info: x: 0, y: 0, theta: 0
[16:04:22] info: x: 0, y: 0, theta: 0
[16:04:27] info: x: 0, y: 0, theta: 0
[16:04:32] info: x: 0, y: 0, theta: 0
[16:04:37] info: x: 0, y: 0, theta: 0
[16:04:42] info: x: 0, y: 0, theta: 0
[16:04:47] info: x: 0, y: 0, theta: 0
[16:04:52] info: x: 0, y: 0, theta: 0
[16:04:57] info: x: 0, y: 0, theta: 0
[16:05:02] info: x: 0, y: 0, theta: 0
[16:05:07] info: x: 0, y: 0, theta: 0
[16:05:12] info: x: 0, y: 0, theta: 0
[16:05:17] info: x: 0, y: 0, theta: 0
[16:05:22] info: x: 0, y: 0, theta: 0
[16:05:27] info: x: 0, y: 0, theta: 0
[16:05:32] info: x: 0, y: 0, theta: 0
[16:05:37] info: x: 0, y: 0, theta: 0
[16:05:42] info: x: 0, y: 0, theta: 0
[16:05:47] info: x: 0, y: 0, theta: 0
[16:05:52] info: x: 0, y: 0, theta: 0
[16:05:57] info: x: 0, y: 0, theta: 0
[16:06:02] info: x: 0, y: 0, theta: 0
[16:06:07] info: x: 0, y: 0, theta: 0
[16:06:12] info: x: 0, y: 0, theta: 0
[16:06:17] info: x: 0, y: 0, theta: 0
[16:06:22] info: x: 0, y: 0, theta: 0
[16:06:27] info: x: 0, y: 0, theta: 0
[16:06:32] info: x: 0, y: 0, theta: 0
[16:06:37] info: x: 0, y: 0, theta: 0
[16:06:42] info: x: 0, y: 0, theta: 0
[16:06:47] info: x: 0, y: 0, theta: 0
[16:06:52] info: x: 0, y: 0, theta: 0
[16:06:57] info: x: 0, y: 0, theta: 0
[16:07:02] info: x: 0, y: 0, theta: 0
[16:07:07] info: x: 0, y: 0, theta: 0
[16:07:12] info: x: 0, y: 0, theta: 0
[16:07:17] info: x: 0, y: 0, theta: 0
[16:07:22] info: x: 0, y: 0, theta: 0
[16:07:27] info: x: 0, y: 0, theta: 0
[16:07:32] info: x: 0, y: 0, theta: 0
[16:07:37] info: x: 0, y: 0, theta: 0
[16:07:42] info: x: 0, y: 0, theta: 0
[16:07:47] info: x: 0, y: 0, theta: 0
[16:07:52] info: x: 0, y: 0, theta: 0
[16:07:57] info: x: 0, y: 0, theta: 0
[16:08:02] info: x: 0, y: 0, theta: 0
[16:08:07] info: x: 0, y: 0, theta: 0
[16:08:12] info: x: 0, y: 0, theta: 0
[16:08:17] info: x: 0, y: 0, theta: 0
[16:08:22] info: x: 0, y: 0, theta: 0
[16:08:27] info: x: 0, y: 0, theta: 0
[16:08:32] info: x: 0, y: 0, theta: 0
[16:08:37] info: x: 0, y: 0, theta: 0
[16:08:42] info: x: 0, y: 0, theta: 0
[16:08:47] info: x: 0, y: 0, theta: 0
[16:08:52] info: x: 0, y: 0, theta: 0
[16:08:57] info: x: 0, y: 0, theta: 0
[16:09:02] info: x: 0, y: 0, theta: 0
[16:09:07] info: x: 0, y: 0, theta: 0
[16:09:12] info: x: 0, y: 0, theta: 0
[16:09:17] info: x: 0, y: 0, theta: 0
[16:09:22] info: x: 0, y: 0, theta: 0
[16:09:27] info: x: 0, y: 0, theta: 0
[16:09:32] info: x: 0, y: 0, theta: 0
[16:09:37] info: x: 0, y: 0, theta: 0
