[19:31:09] info: 10_Feb_2022_19.31
[19:31:10] info: MQTT connection respone successfull
[19:31:10] info: Subsribe response v2/server/simulated/cmd
[19:31:10] info: Subsribe response v2/server/simulated/cmd
[19:31:28] info: Init pose selected: 0, 0, 0
[19:31:29] info: Got a request to publish to: v2/server/thomas/cmd
[19:32:01] info: Sub request
[19:32:01] error: Could not put onto pub ch!
[19:32:01] info: Got a request to subscribe to: $SYS/#
[19:32:01] info: Subsribe response $SYS/#
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
[19:32:01] error: Got invalid SLAM message!
[19:32:01] warning: Invalid size of payload!
[19:32:01] error: Received invalid SLAM message!
