[20:32:53] info: 21_Feb_2022_20.32
[20:32:54] info: MQTT connection respone successfull
[20:32:54] info: Subsribe response v2/server/simulated/cmd
[20:32:54] info: Subsribe response v2/server/simulated/cmd
[20:33:10] info: Init pose selected: 0, 0, 0
[20:33:10] info: x: 0, y: 0, theta: 0
[20:33:10] info: x: 0, y: 0, theta: 0
[20:33:10] info: x: 0, y: 0, theta: 0
[20:33:10] info: x: 0, y: 0, theta: 0
[20:33:10] info: x: 0, y: 0, theta: 0
[20:33:10] info: x: 0, y: 0, theta: 0
[20:33:10] info: x: 0, y: 0, theta: 0
[20:33:10] info: Odom        : x:          0, y:          0, theta:          0
[20:33:10] info: New position: x:   0.001494, y:  4.594e-07, theta:   -0.01492 weight:   1
[20:33:10] info: New position: x:   0.001494, y:  4.594e-07, theta:   -0.01492 weight:   1
[20:33:10] info: New position: x:  -0.000368, y:  1.029e-07, theta:    -0.1476 weight:   1
[20:33:10] info: New position: x:  -0.000368, y:  1.029e-07, theta:    -0.1476 weight:   1
[20:33:10] info: New position: x:  0.0006501, y:  8.112e-07, theta:    0.08175 weight:   1
[20:33:10] info: New position: x:  0.0006501, y:  8.112e-07, theta:    0.08175 weight:   1
[20:33:10] info: New position: x: -0.0008156, y: -7.211e-07, theta:    0.04937 weight:   1
[20:33:10] info: New position: x: -0.0008156, y: -7.211e-07, theta:    0.04937 weight:   1
[20:33:10] info: New position: x:   0.000182, y: -2.647e-07, theta:    -0.1369 weight:   1
[20:33:10] info: New position: x:   0.000182, y: -2.647e-07, theta:    -0.1369 weight:   1
[20:33:10] info: New position: x:  9.096e-05, y:  1.702e-07, theta:    0.09777 weight:   1
[20:33:10] info: New position: x:  9.096e-05, y:  1.702e-07, theta:    0.09777 weight:   1
[20:33:10] info: New position: x:  -0.000687, y:  2.444e-09, theta:    0.05473 weight:   1
[20:33:10] info: New position: x:  -0.000687, y:  2.444e-09, theta:    0.05473 weight:   1
[20:33:10] info: New position: x: -0.0003269, y: -4.082e-08, theta:    0.05619 weight:   1
[20:33:10] info: New position: x: -0.0003269, y: -4.082e-08, theta:    0.05619 weight:   1
[20:33:10] info: New position: x:   0.001255, y:  2.139e-06, theta:    0.01987 weight:   1
[20:33:10] info: New position: x:   0.001255, y:  2.139e-06, theta:    0.01987 weight:   1
[20:33:10] info: New position: x: -0.0009834, y:  6.982e-07, theta:   -0.07216 weight:   1
[20:33:10] info: New position: x: -0.0009834, y:  6.982e-07, theta:   -0.07216 weight:   1
[20:33:10] info: New position: x: -0.0001031, y: -1.094e-07, theta:    0.02295 weight:   1
[20:33:10] info: New position: x: -0.0001031, y: -1.094e-07, theta:    0.02295 weight:   1
[20:33:10] info: New position: x: -0.0004054, y: -2.316e-07, theta:    0.01712 weight:   1
[20:33:10] info: New position: x: -0.0004054, y: -2.316e-07, theta:    0.01712 weight:   1
[20:33:10] info: New position: x:  -0.000403, y: -8.945e-07, theta:    0.07677 weight:   1
[20:33:10] info: New position: x:  -0.000403, y: -8.945e-07, theta:    0.07677 weight:   1
[20:33:10] info: New position: x:   0.001458, y: -7.358e-07, theta:    -0.1369 weight:   1
[20:33:10] info: New position: x:   0.001458, y: -7.358e-07, theta:    -0.1369 weight:   1
[20:33:10] info: New position: x: -0.0009361, y: -2.124e-07, theta:    0.03493 weight:   1
[20:33:10] info: New position: x: -0.0009361, y: -2.124e-07, theta:    0.03493 weight:   1
[20:33:10] info: New position: x:   -0.00282, y: -5.105e-07, theta:  -0.008128 weight:   1
[20:33:10] info: New position: x:   -0.00282, y: -5.105e-07, theta:  -0.008128 weight:   1
[20:33:10] info: New position: x:  0.0007966, y:  3.408e-07, theta:   -0.01268 weight:   1
